Clarity,Aroma,Body,Flavor,Oakiness,Quality
1,3.2999999999999998,2.7999999999999998,3.1000000000000001,4.0999999999999996,9.8000000000000007
1,4.4000000000000004,4.9000000000000004,3.5,3.8999999999999999,12.6
1,3.8999999999999999,5.2999999999999998,4.7999999999999998,4.7000000000000002,11.9
1,3.8999999999999999,2.6000000000000001,3.1000000000000001,3.6000000000000001,11.1
1,5.5999999999999996,5.0999999999999996,5.5,5.0999999999999996,13.300000000000001
1,4.5999999999999996,4.7000000000000002,5,4.0999999999999996,12.800000000000001
1,4.7999999999999998,4.7999999999999998,4.7999999999999998,3.2999999999999998,12.800000000000001
1,5.2999999999999998,4.5,4.2999999999999998,5.2000000000000002,12
1,4.2999999999999998,4.2999999999999998,3.8999999999999999,2.8999999999999999,13.6
1,4.2999999999999998,3.8999999999999999,4.7000000000000002,3.8999999999999999,13.9
1,5.0999999999999996,4.2999999999999998,4.5,3.6000000000000001,14.4
0.5,3.2999999999999998,5.4000000000000004,4.2999999999999998,3.6000000000000001,12.300000000000001
0.80000000000000004,5.9000000000000004,5.7000000000000002,7,4.0999999999999996,16.100000000000001
0.69999999999999996,7.7000000000000002,6.5999999999999996,6.7000000000000002,3.7000000000000002,16.100000000000001
1,7.0999999999999996,4.4000000000000004,5.7999999999999998,4.0999999999999996,15.5
0.90000000000000002,5.5,5.5999999999999996,5.5999999999999996,4.4000000000000004,15.5
1,6.2999999999999998,5.4000000000000004,4.7999999999999998,4.5999999999999996,13.800000000000001
1,5,5.5,5.5,4.0999999999999996,13.800000000000001
1,4.5999999999999996,4.0999999999999996,4.2999999999999998,3.1000000000000001,11.300000000000001
0.90000000000000002,3.3999999999999999,5,3.3999999999999999,3.3999999999999999,7.9000000000000004
0.90000000000000002,6.4000000000000004,5.4000000000000004,6.5999999999999996,4.7999999999999998,15.1
1,5.5,5.2999999999999998,5.2999999999999998,3.7999999999999998,13.5
0.69999999999999996,4.7000000000000002,4.0999999999999996,5,3.7000000000000002,10.800000000000001
0.69999999999999996,4.0999999999999996,4,4.0999999999999996,4,9.5
1,6,5.4000000000000004,5.7000000000000002,4.7000000000000002,12.699999999999999
1,4.2999999999999998,4.5999999999999996,4.7000000000000002,4.9000000000000004,11.6
1,3.8999999999999999,4,5.0999999999999996,5.0999999999999996,11.699999999999999
1,5.0999999999999996,4.9000000000000004,5,5.0999999999999996,11.9
1,3.8999999999999999,4.4000000000000004,5,4.4000000000000004,10.800000000000001
1,4.5,3.7000000000000002,2.8999999999999999,3.8999999999999999,8.5
1,5.2000000000000002,4.2999999999999998,5,6,10.699999999999999
0.80000000000000004,4.2000000000000002,3.7999999999999998,3,4.7000000000000002,9.0999999999999996
1,3.2999999999999998,3.5,4.2999999999999998,4.5,12.1
1,6.7999999999999998,5,6,5.2000000000000002,14.9
0.80000000000000004,5,5.7000000000000002,5.5,4.7999999999999998,13.5
0.80000000000000004,3.5,4.7000000000000002,4.2000000000000002,3.2999999999999998,12.199999999999999
0.80000000000000004,4.2999999999999998,5.5,3.5,5.7999999999999998,10.300000000000001
0.80000000000000004,5.2000000000000002,4.7999999999999998,5.7000000000000002,3.5,13.199999999999999
